"Date","Description","Amount","Balance"
"03/28/2026","ZILLOW PREMIER AGENT #4821","-350.00","24650.00"
"03/27/2026","FACEBOOK ADS #8934","-125.50","25000.00"
"03/27/2026","SHELL #0291","-48.75","25125.50"
"03/26/2026","OFFICE DEPOT #1247","-89.99","25174.25"
"03/26/2026","AT&T WIRELESS","-185.00","25264.24"
"03/25/2026","STARBUCKS #4410","-12.45","25449.24"
"03/25/2026","STATE FARM INS PMT","-425.00","25461.69"
"03/24/2026","CLANTON OFFICE LEASE PMT","-2800.00","25886.69"
"03/24/2026","DOCUSIGN MONTHLY","-25.00","28686.69"
"03/23/2026","DEPOSIT - COMMISSION","8500.00","28711.69"
"03/22/2026","GOOGLE ADS #7712","-210.00","20211.69"
"03/22/2026","CHEVRON #8832","-52.30","20421.69"
"03/21/2026","NAR ANNUAL DUES","-150.00","20473.99"
"03/20/2026","ALABAMA POWER","-245.00","20623.99"
"03/20/2026","VISTAPRINT CARDS","-79.99","20868.99"
"03/19/2026","RESTAURANT MEETING LUNCH","-67.80","20948.98"
"03/18/2026","JIFFY LUBE OIL CHANGE","-45.99","21016.78"
"03/17/2026","CANVA PRO SUBSCRIPTION","-12.99","21062.77"
"03/15/2026","CHICK-FIL-A #2291","-18.50","21075.76"
"03/15/2026","REALTOR.COM LISTING FEE","-299.00","21094.26"
